PLAYER_NAME,Season,REB_CONTEST_PCT,AVG_REB_DIST
Isaiah Canaan,2018-19,0.155,10.5
Isaiah Hartenstein,2018-19,0.596,6.4
Isaiah Hicks,2018-19,0.286,5.3
Isaiah Thomas,2018-19,0.231,13.0
Ish Smith,2018-19,0.186,9.3
Ivan Rabb,2018-19,0.515,5.0
Ivica Zubac,2018-19,0.517,4.2
J.J. Barea,2018-19,0.063,10.0
J.P. Macura,2018-19,0.0,5.8
JJ Redick,2018-19,0.125,11.1
JR Smith,2018-19,0.167,7.3
JaKarr Sampson,2018-19,0.25,4.9
JaMychal Green,2018-19,0.374,5.1
JaVale McGee,2018-19,0.473,4.4
Jabari Parker,2018-19,0.34,6.2
Jacob Evans,2018-19,0.36,8.6
Jae Crowder,2018-19,0.2,7.5
Jahlil Okafor,2018-19,0.428,5.0
Jake Layman,2018-19,0.309,7.1
Jakob Poeltl,2018-19,0.539,5.0
Jalen Brunson,2018-19,0.195,9.3
Jalen Jones,2018-19,0.265,4.4
Jamal Crawford,2018-19,0.106,11.8
Jamal Murray,2018-19,0.233,9.4
James Ennis III,2018-19,0.286,6.4
James Harden,2018-19,0.237,7.4
James Johnson,2018-19,0.273,6.6
James Nunnally,2018-19,0.2,5.6
Jared Dudley,2018-19,0.303,6.4
Jared Terrell,2018-19,0.0,10.3
Jarell Martin,2018-19,0.329,5.0
Jaren Jackson Jr.,2018-19,0.515,6.1
Jaron Blossomgame,2018-19,0.296,4.7
Jarred Vanderbilt,2018-19,0.478,4.3
Jarrett Allen,2018-19,0.393,4.7
Jason Smith,2018-19,0.365,5.3
Jawun Evans,2018-19,0.167,7.9
Jaylen Adams,2018-19,0.1,10.1
Jaylen Brown,2018-19,0.249,6.8
Jaylen Morris,2018-19,0.4,10.1
Jayson Tatum,2018-19,0.212,6.9
Jeff Green,2018-19,0.32,7.3
Jeff Teague,2018-19,0.123,10.6
Jemerrio Jones,2018-19,0.306,6.9
Jerami Grant,2018-19,0.328,7.6
Jeremy Lamb,2018-19,0.258,5.9
Jeremy Lin,2018-19,0.196,9.2
Jerian Grant,2018-19,0.194,10.2
Jerome Robinson,2018-19,0.146,7.6
Jerryd Bayless,2018-19,0.145,11.2
Jevon Carter,2018-19,0.152,11.9
Jimmer Fredette,2018-19,0.0,10.7
Jimmy Butler,2018-19,0.378,7.8
Joakim Noah,2018-19,0.429,4.4
Jodie Meeks,2018-19,0.083,10.2
Joe Chealey,2018-19,0.0,0.0
Joe Harris,2018-19,0.32,7.4
Joe Ingles,2018-19,0.172,8.5
Joel Embiid,2018-19,0.377,4.6
John Collins,2018-19,0.487,4.3
John Henson,2018-19,0.296,5.7
John Holland,2018-19,0.0,0.0
John Jenkins,2018-19,0.027,11.5
John Wall,2018-19,0.155,10.4
Johnathan Motley,2018-19,0.392,4.5
Johnathan Williams,2018-19,0.434,5.0
Jon Leuer,2018-19,0.381,4.9
Jonah Bolden,2018-19,0.45,6.1
Jonas Jerebko,2018-19,0.389,6.1
Jonas Valanciunas,2018-19,0.506,3.7
Jonathan Isaac,2018-19,0.369,5.0
Jonathon Simmons,2018-19,0.319,8.0
Jordan Bell,2018-19,0.44,5.5
Jordan Clarkson,2018-19,0.244,8.8
Jordan Loyd,2018-19,0.333,7.0
Jordan McRae,2018-19,0.225,9.2
Jordan Sibert,2018-19,0.0,0.0
Jose Calderon,2018-19,0.133,10.2
Josh Hart,2018-19,0.282,7.8
Josh Jackson,2018-19,0.297,7.1
Josh Okogie,2018-19,0.303,7.7
Josh Richardson,2018-19,0.186,10.5
Jrue Holiday,2018-19,0.284,8.3
Juancho Hernangomez,2018-19,0.283,6.1
Julian Washburn,2018-19,0.317,7.0
Julius Randle,2018-19,0.372,5.0
Justin Anderson,2018-19,0.286,6.5
Justin Holiday,2018-19,0.211,8.0
Justin Jackson,2018-19,0.278,8.5
Justin Patton,2018-19,0.667,4.0
Justise Winslow,2018-19,0.282,6.9
Jusuf Nurkic,2018-19,0.453,4.4
Kadeem Allen,2018-19,0.275,7.9
Kalin Lucas,2018-19,0.333,10.5
Karl-Anthony Towns,2018-19,0.425,5.2
Kawhi Leonard,2018-19,0.376,6.7
Keita Bates-Diop,2018-19,0.277,7.0
Kelly Olynyk,2018-19,0.291,6.5
Kelly Oubre Jr.,2018-19,0.332,6.3
Kemba Walker,2018-19,0.23,9.5
Kenneth Faried,2018-19,0.456,4.9
Kenrich Williams,2018-19,0.32,7.1
Kent Bazemore,2018-19,0.199,7.9
Kentavious Caldwell-Pope,2018-19,0.176,8.3
Kevin Durant,2018-19,0.229,6.5
Kevin Huerter,2018-19,0.233,9.0
Kevin Knox II,2018-19,0.281,7.0
Kevin Love,2018-19,0.314,4.8
Kevon Looney,2018-19,0.54,5.2
Khem Birch,2018-19,0.547,5.1
Khris Middleton,2018-19,0.189,6.9
Khyri Thomas,2018-19,0.15,8.3
Klay Thompson,2018-19,0.211,8.2
Kobi Simmons,2018-19,0.0,0.0
Kosta Koufos,2018-19,0.401,4.9
Kostas Antetokounmpo,2018-19,0.0,5.8
Kris Dunn,2018-19,0.164,7.5
Kyle Anderson,2018-19,0.283,7.1
Kyle Korver,2018-19,0.138,8.3
Kyle Kuzma,2018-19,0.249,7.3
Kyle Lowry,2018-19,0.237,8.4
Kyle O'Quinn,2018-19,0.403,4.7
Kyrie Irving,2018-19,0.233,8.9
LaMarcus Aldridge,2018-19,0.453,5.7
Lance Stephenson,2018-19,0.233,6.7
Lance Thomas,2018-19,0.333,7.4
Landry Shamet,2018-19,0.144,10.4
Langston Galloway,2018-19,0.175,11.2
Larry Nance Jr.,2018-19,0.393,5.0
Lauri Markkanen,2018-19,0.325,5.3
LeBron James,2018-19,0.271,6.9
Lonnie Walker IV,2018-19,0.294,7.0
Lonzo Ball,2018-19,0.327,6.9
Lorenzo Brown,2018-19,0.194,5.7
Lou Williams,2018-19,0.171,9.3
Luc Mbah a Moute,2018-19,0.286,8.2
Luka Doncic,2018-19,0.266,6.0
Luke Kennard,2018-19,0.158,8.0
Luke Kornet,2018-19,0.409,6.7
Luol Deng,2018-19,0.233,6.5
Malachi Richardson,2018-19,0.077,7.9
Malcolm Brogdon,2018-19,0.253,8.7
Malcolm Miller,2018-19,0.2,5.4
Malik Beasley,2018-19,0.225,9.0
Malik Monk,2018-19,0.139,8.8
MarShon Brooks,2018-19,0.267,6.9
Marc Gasol,2018-19,0.381,4.9
Marcin Gortat,2018-19,0.349,4.8
Marco Belinelli,2018-19,0.126,7.9
Marcus Derrickson,2018-19,0.538,9.7
