PLAYER_NAME,Season,DEF Handoff PPP Rank,DEF Handoff FREQ Rank,GP Rank,DEF Isolation PPP Rank,DEF Isolation FREQ Rank,DEF OffScreen PPP Rank,DEF OffScreen FREQ Rank,DEF Postup PPP Rank,DEF Postup FREQ Rank,DEF PRBallHandler PPP Rank,DEF PRBallHandler FREQ Rank,DEF PRRollman PPP Rank,DEF PRRollman FREQ Rank,DEF Spotup PPP Rank,DEF Spotup FREQ Rank,FREQ 3 Pointers Rank,PLUSMINUS 3 Pointers Rank,FREQ Less Than 6Ft Rank,PLUSMINUS Less Than 6Ft Rank,FREQ Less Than 10Ft Rank,PLUSMINUS Less Than 10Ft Rank,MIN Rank,DEFLECTIONS Rank,PCT_LOOSE_BALLS_RECOVERED_DEF Rank,REB_CONTEST_PCT Rank,AVG_REB_DIST Rank,DIST_MILES_DEF Rank,AVG_SPEED_DEF Rank,DEFLECTIONS Per36 Rank
DeMar DeRozan,2021-22,0.9331476323119777,0.5543175487465181,0.8997214484679665,0.3607242339832869,0.16991643454038996,0.6211699164345403,0.66991643454039,0.947075208913649,0.6364902506963789,0.2924791086350975,0.3802228412256267,0.9428969359331476,0.5571030640668524,0.14345403899721448,0.8272980501392758,0.2618384401114206,0.39136490250696376,0.8746518105849582,0.7158774373259053,0.8342618384401114,0.596100278551532,0.9777158774373259,0.6072423398328691,0.3203342618384401,0.2938718662952646,0.6615598885793872,0.8913649025069638,0.052924791086350974,0.2590529247910863
Jimmy Butler,2021-22,0.8495821727019499,0.9401114206128134,0.4596100278551532,0.807799442896936,0.31754874651810583,0.3788300835654596,0.786908077994429,0.7256267409470752,0.6364902506963789,0.20334261838440112,0.5403899721448467,0.8885793871866295,0.33565459610027853,0.23676880222841226,0.7534818941504178,0.9665738161559888,0.10027855153203342,0.14066852367688024,0.7311977715877437,0.055710306406685235,0.7827298050139275,0.8871866295264624,0.9331476323119777,0.22562674094707522,0.7437325905292479,0.43036211699164345,0.9387186629526463,0.4025069637883008,0.7966573816155988
Devin Vassell,2021-22,0.871866295264624,0.7729805013927576,0.7701949860724234,0.5041782729805014,0.41086350974930363,0.7520891364902507,0.8997214484679665,0.2562674094707521,0.45264623955431754,0.3384401114206128,0.8690807799442897,0.116991643454039,0.116991643454039,0.520891364902507,0.2381615598885794,0.20473537604456823,0.6559888579387186,0.958217270194986,0.3370473537604457,0.9415041782729805,0.4373259052924791,0.5877437325905293,0.7618384401114207,0.9749303621169917,0.6364902506963789,0.38440111420612816,0.7047353760445683,0.7172701949860725,0.7158774373259053
RJ Barrett,2021-22,0.6128133704735376,0.4596100278551532,0.7437325905292479,0.1532033426183844,0.23676880222841226,0.45125348189415043,0.6880222841225627,0.8286908077994429,0.3203342618384401,0.47214484679665736,0.8189415041782729,0.5041782729805014,0.43454038997214484,0.4206128133704735,0.6559888579387186,0.8565459610027855,0.2757660167130919,0.19220055710306408,0.6880222841225627,0.06267409470752089,0.692200557103064,0.9052924791086351,0.18523676880222842,0.5139275766016713,0.3161559888579387,0.520891364902507,0.9693593314763231,0.766016713091922,0.033426183844011144
Devin Booker,2021-22,0.4805013927576602,0.7896935933147632,0.6866295264623955,0.3955431754874652,0.5181058495821727,0.5515320334261838,0.5919220055710307,0.5779944289693594,0.415041782729805,0.6754874651810585,0.6142061281337048,0.5933147632311978,0.28551532033426186,0.22423398328690808,0.7701949860724234,0.6142061281337048,0.18802228412256267,0.37186629526462395,0.19637883008356546,0.233983286908078,0.2966573816155989,0.9052924791086351,0.7075208913649025,0.45264623955431754,0.18523676880222842,0.6183844011142061,0.9052924791086351,0.116991643454039,0.4206128133704735
De'Aaron Fox,2021-22,0.5139275766016713,0.7896935933147632,0.47493036211699163,0.07520891364902507,0.10306406685236769,0.6573816155988857,0.35097493036211697,0.2785515320334262,0.1991643454038997,0.9094707520891365,0.9832869080779945,0.9025069637883009,0.25348189415041783,0.5055710306406686,0.41225626740947074,0.6810584958217271,0.7311977715877437,0.4832869080779944,0.8871866295264624,0.36908077994428967,0.924791086350975,0.9526462395543176,0.9275766016713092,0.23259052924791088,0.07381615598885793,0.883008356545961,0.9651810584958217,0.2520891364902507,0.7465181058495822
Andrew Wiggins,2021-22,0.33147632311977715,0.83008356545961,0.8231197771587744,0.3467966573816156,0.41086350974930363,0.6462395543175488,0.6030640668523677,0.33008356545961004,0.1991643454038997,0.39136490250696376,0.6977715877437326,0.3593314763231198,0.5571030640668524,0.5905292479108635,0.6504178272980501,0.7771587743732591,0.3788300835654596,0.4428969359331476,0.24930362116991645,0.4554317548746518,0.17688022284122562,0.7910863509749304,0.5682451253481894,0.07520891364902507,0.6545961002785515,0.41643454038997213,0.83008356545961,0.2520891364902507,0.31337047353760444
Herbert Jones,2021-22,0.5,0.637883008356546,0.9442896935933147,0.7089136490250696,0.5947075208913649,0.5905292479108635,0.3955431754874652,0.8426183844011143,0.38440111420612816,0.5821727019498607,0.8899721448467967,0.6671309192200557,0.28551532033426186,0.7618384401114207,0.42618384401114207,0.7701949860724234,0.7311977715877437,0.11142061281337047,0.38579387186629527,0.14066852367688024,0.46518105849582175,0.7298050139275766,0.9777158774373259,0.31058495821727017,0.6267409470752089,0.7924791086350975,0.8008356545961003,0.7353760445682451,0.9526462395543176
Aaron Gordon,2021-22,0.7270194986072424,0.5696378830083565,0.8732590529247911,0.766016713091922,0.6239554317548747,0.6935933147632312,0.66991643454039,0.628133704735376,0.08774373259052924,0.3983286908077994,0.7855153203342619,0.43036211699164345,0.6323119777158774,0.3245125348189415,0.43454038997214484,0.36629526462395545,0.3426183844011142,0.4428969359331476,0.4233983286908078,0.5445682451253482,0.3384401114206128,0.7785515320334262,0.18523676880222842,0.12256267409470752,0.7409470752089137,0.403899721448468,0.7701949860724234,0.4025069637883008,0.05013927576601671
Javonte Green,2021-22,0.7270194986072424,0.9540389972144847,0.584958217270195,0.5515320334261838,0.45403899721448465,0.8217270194986073,0.48885793871866295,0.43454038997214484,0.8314763231197771,0.5724233983286908,0.6044568245125348,0.35236768802228413,0.28551532033426186,0.841225626740947,0.3398328690807799,0.4428969359331476,0.6713091922005571,0.5431754874651811,0.26323119777158777,0.6100278551532033,0.32172701949860727,0.4428969359331476,0.8454038997214485,0.6838440111420613,0.7367688022284122,0.3412256267409471,0.48746518105849584,0.9484679665738162,0.9025069637883009
Jrue Holiday,2021-22,0.7019498607242339,0.5236768802228412,0.6532033426183844,0.17548746518105848,0.06824512534818941,0.3412256267409471,0.7270194986072424,0.18662952646239556,0.2200557103064067,0.5877437325905293,0.9136490250696379,0.2827298050139276,0.26740947075208915,0.7200557103064067,0.6211699164345403,0.9610027855153204,0.8579387186629527,0.027855153203342618,0.42896935933147634,0.022284122562674095,0.3286908077994429,0.8356545961002786,0.947075208913649,0.8997214484679665,0.6796657381615598,0.5988857938718662,0.947075208913649,0.37604456824512533,0.8662952646239555
Kentavious Caldwell-Pope,2021-22,0.7841225626740947,0.6894150417827298,0.9261838440111421,0.5543175487465181,0.22284122562674094,0.6657381615598886,0.7520891364902507,0.4568245125348189,0.8788300835654597,0.713091922005571,0.9554317548746518,0.9540389972144847,0.3649025069637883,0.6727019498607242,0.1935933147632312,0.36629526462395545,0.31754874651810583,0.5821727019498607,0.7938718662952646,0.5376044568245125,0.7618384401114207,0.7381615598885793,0.7841225626740947,0.3467966573816156,0.23119777158774374,0.7395543175487466,0.6880222841225627,0.33565459610027853,0.6740947075208914
Kevin Huerter,2021-22,0.5292479108635098,0.8732590529247911,0.8481894150417827,0.724233983286908,0.532033426183844,0.8286908077994429,0.9261838440111421,0.24651810584958217,0.25348189415041783,0.5947075208913649,0.7896935933147632,0.5292479108635098,0.28551532033426186,0.2520891364902507,0.3565459610027855,0.5584958217270195,0.5473537604456824,0.3635097493036212,0.8050139275766016,0.40807799442896936,0.7952646239554317,0.7116991643454039,0.7075208913649025,0.6796657381615598,0.24373259052924792,0.7924791086350975,0.7047353760445683,0.5181058495821727,0.6072423398328691
Grayson Allen,2021-22,0.7952646239554317,0.9610027855153204,0.616991643454039,0.9164345403899722,0.08495821727019498,0.7604456824512534,0.9456824512534819,0.7799442896935933,0.2757660167130919,0.6350974930362117,0.35236768802228413,0.6295264623955432,0.8036211699164345,0.39275766016713093,0.9233983286908078,0.9888579387186629,0.2757660167130919,0.03899721448467967,0.3467966573816156,0.04735376044568245,0.41086350974930363,0.5877437325905293,0.5682451253481894,0.7632311977715878,0.10724233983286909,0.7395543175487466,0.7047353760445683,0.8147632311977716,0.47075208913649025
Davion Mitchell,2021-22,0.6253481894150418,0.8008356545961003,0.8732590529247911,0.21030640668523676,0.19637883008356546,0.7325905292479109,0.8314763231197771,0.5013927576601671,0.3203342618384401,0.28133704735376047,0.9888579387186629,0.7228412256267409,0.3649025069637883,0.34540389972144847,0.18384401114206128,0.7701949860724234,0.435933147632312,0.07520891364902507,0.49025069637883006,0.07103064066852367,0.32172701949860727,0.6086350974930362,0.5738161559888579,0.5821727019498607,0.06963788300835655,0.9512534818941504,0.6601671309192201,0.637883008356546,0.467966573816156
Jaylen Brown,2021-22,0.6629526462395543,0.9303621169916435,0.616991643454039,0.5738161559888579,0.15181058495821728,0.3983286908077994,0.7994428969359332,0.6713091922005571,0.8161559888579387,0.7270194986072424,0.6518105849582173,0.5933147632311978,0.5571030640668524,0.4763231197771588,0.5250696378830083,0.6977715877437326,0.39136490250696376,0.3328690807799443,0.467966573816156,0.3467966573816156,0.3579387186629526,0.8704735376044568,0.7144846796657381,0.11977715877437325,0.4428969359331476,0.4456824512534819,0.8676880222841226,0.2520891364902507,0.45403899721448465
Keldon Johnson,2021-22,0.7910863509749304,0.7367688022284122,0.8732590529247911,0.18802228412256267,0.45403899721448465,0.6072423398328691,0.6532033426183844,0.5891364902506964,0.9094707520891365,0.5236768802228412,0.5807799442896936,0.8314763231197771,0.30362116991643456,0.6727019498607242,0.39136490250696376,0.4610027855153203,0.47214484679665736,0.6420612813370473,0.12116991643454039,0.5974930362116991,0.11838440111420613,0.7910863509749304,0.48885793871866295,0.6462395543175488,0.5403899721448467,0.24233983286908078,0.8676880222841226,0.33565459610027853,0.20891364902506965
