PLAYER_NAME,DEF Handoff PPP,DEF Handoff FREQ,DEF Isolation PPP,DEF Isolation FREQ,DEF OffScreen PPP,DEF OffScreen FREQ,DEF Postup PPP,DEF Postup FREQ,DEF PRBallHandler PPP,DEF PRBallHandler FREQ,DEF PRRollman PPP,DEF PRRollman FREQ,DEF Spotup PPP,DEF Spotup FREQ,FREQ 3 Pointers,PLUSMINUS 3 Pointers,FREQ Less Than 6Ft,PLUSMINUS Less Than 6Ft,FREQ Less Than 10Ft,PLUSMINUS Less Than 10Ft,PCT_LOOSE_BALLS_RECOVERED_DEF,REB_CONTEST_PCT,AVG_REB_DIST,DIST_MILES_DEF,AVG_SPEED_DEF,DEFLECTIONS Per36,Cluster,Archetype
Onyeka Okongwu,0.8,0.02,0.673,0.1,0.0,0.0,0.881,0.085,0.0,0.02,1.375,0.049,0.795,0.169,0.254,-0.05,0.391,-0.059,0.505,-0.054,0.4,0.481,5.3,0.71,3.97,1.7739130434782608,1,Paint Protector
Saben Lee,0.727,0.051,1.313,0.074,0.0,0.0,1.273,0.051,0.783,0.382,0.0,0.0,0.808,0.336,0.355,-0.106,0.412,0.106,0.527,0.078,0.5,0.318,8.1,0.6,4.13,3.4012269938650306,2,Off-Ball Chaser
Dwight Powell,0.571,0.017,0.842,0.07,0.0,0.0,0.932,0.072,0.778,0.022,0.787,0.058,1.128,0.211,0.23,-0.012,0.426,-0.002,0.541,0.002,0.222,0.411,6.0,0.76,4.11,1.7917808219178086,1,Paint Protector
T.J. McConnell,0.571,0.063,0.813,0.072,0.0,0.0,0.786,0.063,1.155,0.437,0.0,0.0,0.75,0.288,0.344,-0.02,0.344,0.065,0.466,0.034,0.409,0.189,9.3,0.91,4.25,4.07603305785124,2,Off-Ball Chaser
Bam Adebayo,0.9,0.015,0.72,0.154,0.5,0.022,0.925,0.061,1.238,0.065,0.929,0.043,1.006,0.243,0.357,-0.058,0.36,-0.029,0.451,-0.031,0.412,0.385,5.8,1.09,3.72,2.683435582822086,6,Versatile Positional Wing
Brandon Williams,0.818,0.048,0.846,0.056,1.0,0.048,0.941,0.074,1.094,0.229,0.0,0.0,1.209,0.476,0.442,0.067,0.341,0.006,0.431,0.004,0.238,0.216,12.0,0.94,3.94,2.534831460674157,2,Off-Ball Chaser
Spencer Dinwiddie,0.818,0.052,1.063,0.075,0.933,0.07,0.933,0.07,0.717,0.216,0.0,0.0,0.897,0.408,0.41,0.001,0.317,0.039,0.419,0.011,0.419,0.233,8.5,0.89,3.48,1.2648648648648648,2,Off-Ball Chaser
Spencer Dinwiddie,1.205,0.092,1.148,0.063,1.296,0.063,0.811,0.087,0.803,0.298,0.0,0.0,1.221,0.308,0.41,0.001,0.317,0.039,0.419,0.011,0.419,0.233,8.5,0.89,3.48,1.2648648648648648,2,Off-Ball Chaser
Isaiah Hartenstein,0.692,0.018,1.041,0.138,0.0,0.0,1.259,0.038,0.0,0.0,0.976,0.059,0.886,0.21,0.264,-0.014,0.423,-0.103,0.53,-0.086,0.4,0.488,5.1,0.65,4.08,2.15195530726257,1,Paint Protector
Dennis Smith Jr.,0.643,0.061,0.714,0.061,1.2,0.066,1.385,0.057,0.81,0.345,0.0,0.0,1.073,0.358,0.425,0.007,0.327,-0.015,0.42,-0.015,0.5,0.216,8.6,0.61,3.9,4.494797687861272,2,Off-Ball Chaser
Mitchell Robinson,0.6,0.015,0.967,0.061,1.154,0.013,0.94,0.051,0.727,0.011,1.0,0.077,1.12,0.144,0.313,0.017,0.354,-0.1,0.436,-0.084,0.426,0.631,5.3,0.87,3.92,2.81556420233463,1,Paint Protector
Moritz Wagner,0.529,0.034,0.934,0.122,1.333,0.024,1.074,0.054,0.583,0.024,0.875,0.032,1.099,0.263,0.351,0.022,0.316,0.025,0.424,0.048,0.4,0.353,5.7,0.52,3.79,1.9894736842105265,6,Versatile Positional Wing
Giannis Antetokounmpo,0.375,0.028,1.031,0.077,0.762,0.025,0.861,0.043,1.075,0.047,1.231,0.077,1.106,0.291,0.362,0.008,0.371,-0.112,0.44,-0.085,0.391,0.323,5.0,1.06,3.45,1.882066869300912,4,Versatile Rim Protector
Jakob Poeltl,1.0,0.008,0.925,0.086,0.417,0.01,1.078,0.051,0.714,0.011,1.042,0.077,1.064,0.139,0.203,-0.001,0.444,-0.082,0.553,-0.069,0.432,0.585,4.6,1.06,4.01,2.16,1,Paint Protector
Kelly Olynyk,1.0,0.026,1.229,0.123,0.0,0.0,0.633,0.077,0.727,0.028,1.667,0.039,0.962,0.27,0.293,0.031,0.437,-0.042,0.527,-0.011,0.4,0.463,5.3,0.62,3.64,3.3549738219895286,1,Paint Protector
Maxi Kleber,0.909,0.021,0.798,0.157,0.84,0.047,0.72,0.047,0.694,0.067,1.043,0.043,1.095,0.295,0.295,-0.043,0.374,-0.065,0.482,-0.061,0.625,0.426,5.8,0.77,3.67,1.1121951219512194,6,Versatile Positional Wing
Robert Covington,0.909,0.059,0.786,0.075,1.091,0.059,1.4,0.107,0.649,0.198,0.0,0.0,1.246,0.369,0.363,0.037,0.386,-0.032,0.48,-0.043,0.636,0.279,6.1,0.89,3.64,4.127472527472527,6,Versatile Positional Wing
Robert Covington,1.263,0.038,0.915,0.095,1.235,0.069,0.933,0.061,0.747,0.152,1.067,0.03,1.113,0.412,0.363,0.037,0.386,-0.032,0.48,-0.043,0.636,0.279,6.1,0.89,3.64,4.127472527472527,6,Versatile Positional Wing
Tomas Satoransky,0.833,0.079,0.692,0.086,0.0,0.0,0.0,0.0,0.83,0.349,0.0,0.0,0.852,0.355,0.395,-0.022,0.355,0.013,0.428,0.052,0.545,0.183,8.4,0.61,4.13,2.618181818181818,2,Off-Ball Chaser
Tomas Satoransky,0.688,0.09,0.944,0.102,0.0,0.0,1.0,0.073,0.938,0.367,0.0,0.0,1.08,0.282,0.395,-0.022,0.355,0.013,0.428,0.052,0.545,0.183,8.4,0.61,4.13,2.618181818181818,2,Off-Ball Chaser
Justise Winslow,0.625,0.093,0.821,0.163,0.0,0.0,1.1,0.058,0.889,0.262,0.0,0.0,0.952,0.244,0.331,-0.006,0.426,-0.059,0.534,-0.08,0.556,0.348,6.0,0.58,3.96,2.101863354037267,2,Off-Ball Chaser
Justin Holiday,0.556,0.087,0.0,0.0,1.083,0.115,0.917,0.058,1.052,0.279,0.0,0.0,1.095,0.356,0.369,0.038,0.374,0.038,0.469,0.046,0.611,0.263,9.5,0.94,3.81,2.356834532374101,5,Perimeter Ball-Hawk
Justin Holiday,1.391,0.095,1.05,0.082,1.111,0.056,1.093,0.088,0.908,0.27,0.933,0.031,0.947,0.309,0.369,0.038,0.374,0.038,0.469,0.046,0.611,0.263,9.5,0.94,3.81,2.356834532374101,5,Perimeter Ball-Hawk
Aaron Holiday,0.917,0.09,0.5,0.09,0.0,0.0,0.0,0.0,0.569,0.436,0.0,0.0,1.297,0.278,0.431,-0.02,0.328,-0.024,0.431,-0.026,0.571,0.115,10.7,0.57,4.09,2.9333333333333336,5,Perimeter Ball-Hawk
