PLAYER_NAME,Season,Cut PPP,Cut FREQ,GP,Handoff PPP,Handoff FREQ,Isolation PPP,Isolation FREQ,OffScreen PPP,OffScreen FREQ,Postup PPP,Postup FREQ,PRBallHandler PPP,PRBallHandler FREQ,PRRollman PPP,PRRollman FREQ,OffRebound PPP,OffRebound FREQ,Spotup PPP,Spotup FREQ,Transition PPP,Transition FREQ,MIN,DRIVE_PASSES_PCT,FG3A,USG_PCT,POTENTIAL_AST FREQ,Restricted Area FREQ,In The Paint (Non-RA) FREQ,Mid-Range FREQ,3P FREQ,Drives FREQ,PULL_UP FREQ,CATCH_SHOOT FREQ,Cluster,Archetype
Kyle Kuzma,2021-22,1.444,0.052,66,0.914,0.067,0.866,0.081,0.817,0.05,0.923,0.032,0.821,0.13,0.857,0.041,1.094,0.044,0.943,0.276,1.005,0.173,33.4,0.331,5.7,0.238,0.3423913043478261,0.3764705882352941,0.3999999999999999,0.2235294117647058,0.4014084507042254,0.4456521739130434,0.2676056338028169,0.323943661971831,7,Big-Wing Secondary Creator
Al Horford,2021-22,1.319,0.102,69,0.0,0.0,0.9,0.015,0.0,0.0,1.043,0.139,0.0,0.0,0.946,0.191,1.632,0.056,1.09,0.331,0.892,0.096,29.1,0.446,3.8,0.147,0.5833333333333334,0.409090909090909,0.3863636363636363,0.2045454545454545,0.4634146341463415,0.125,0.0365853658536585,0.5,1,Versatile Big Creator
Lauri Markkanen,2021-22,1.3,0.085,61,1.261,0.028,0.733,0.018,0.568,0.053,1.165,0.103,0.0,0.0,1.031,0.077,1.25,0.048,1.0,0.37,1.362,0.18,30.8,0.296,6.2,0.192,0.1605839416058394,0.5660377358490566,0.3018867924528302,0.1320754716981132,0.5391304347826087,0.167883211678832,0.0869565217391304,0.5391304347826087,1,Versatile Big Creator
Joel Embiid,2021-22,1.268,0.037,68,0.0,0.0,0.95,0.159,0.8,0.008,1.051,0.28,1.118,0.018,1.241,0.166,1.205,0.062,1.096,0.115,1.213,0.094,33.8,0.179,3.7,0.375,0.2554744525547445,0.35625,0.28125,0.3625,0.1887755102040816,0.1934306569343065,0.3724489795918367,0.1785714285714285,13,Iso-Wing Creator
Alperen Sengun,2021-22,1.2,0.097,72,0.0,0.0,1.037,0.069,0.0,0.0,0.926,0.208,0.0,0.0,0.959,0.158,1.122,0.106,0.732,0.178,0.82,0.064,20.7,0.272,1.6,0.214,0.4622641509433963,0.6785714285714285,0.2857142857142857,0.0357142857142857,0.2191780821917808,0.320754716981132,0.0684931506849315,0.1917808219178082,1,Versatile Big Creator
Naz Reid,2021-22,1.29,0.111,77,0.0,0.0,0.0,0.0,0.0,0.0,0.821,0.107,0.0,0.0,1.147,0.25,1.253,0.12,0.903,0.215,1.077,0.083,15.8,0.255,2.2,0.209,0.2564102564102564,0.725,0.275,0.0,0.3548387096774194,0.1666666666666666,0.0161290322580645,0.3387096774193548,12,Stretch Big
Tobias Harris,2021-22,1.257,0.057,73,1.111,0.029,0.838,0.086,0.649,0.03,1.036,0.113,1.055,0.165,0.756,0.034,1.208,0.039,1.012,0.272,1.192,0.137,34.8,0.324,3.8,0.214,0.3757225433526011,0.4077669902912621,0.4271844660194175,0.1650485436893203,0.2714285714285714,0.5317919075144508,0.2571428571428572,0.2357142857142857,7,Big-Wing Secondary Creator
Isaac Okoro,2021-22,1.318,0.118,67,0.647,0.03,0.625,0.043,0.0,0.0,0.0,0.0,0.731,0.046,0.0,0.0,0.931,0.052,0.981,0.368,1.268,0.293,29.6,0.396,2.3,0.123,0.4337349397590361,0.8095238095238094,0.1428571428571428,0.0476190476190476,0.3593749999999999,0.3975903614457831,0.0468749999999999,0.328125,2,Off-Ball Big
Deni Avdija,2021-22,1.279,0.094,82,0.762,0.058,0.818,0.03,0.867,0.021,1.263,0.026,0.857,0.135,0.75,0.022,1.115,0.036,0.924,0.401,0.98,0.138,24.2,0.321,3.2,0.158,0.4470588235294117,0.5384615384615385,0.358974358974359,0.1025641025641025,0.4507042253521127,0.4588235294117647,0.0985915492957746,0.4084507042253521,3,Versatile Wing Slasher
Jaren Jackson Jr.,2021-22,1.261,0.052,78,1.051,0.06,0.877,0.043,0.871,0.077,0.925,0.122,1.098,0.031,0.964,0.085,1.096,0.063,0.934,0.286,1.046,0.132,27.3,0.1,5.1,0.248,0.1272727272727273,0.4634146341463415,0.5,0.0365853658536585,0.3834586466165413,0.3393939393939393,0.0526315789473684,0.3834586466165413,1,Versatile Big Creator
Kristaps Porzingis,2021-22,1.387,0.098,35,0.882,0.027,0.947,0.03,0.697,0.052,0.887,0.223,0.0,0.0,1.102,0.139,1.243,0.059,0.879,0.209,1.227,0.104,29.0,0.261,4.9,0.286,0.1878453038674033,0.3663366336633664,0.3168316831683168,0.3168316831683168,0.3266666666666667,0.149171270718232,0.1866666666666666,0.3866666666666666,1,Versatile Big Creator
Nemanja Bjelica,2021-22,1.466,0.124,71,0.0,0.0,0.692,0.028,1.0,0.045,0.781,0.069,0.0,0.0,1.034,0.127,1.023,0.094,0.912,0.292,0.88,0.107,16.1,0.456,2.1,0.175,0.6229508196721311,0.5555555555555555,0.3703703703703703,0.074074074074074,0.4375,0.3934426229508196,0.0625,0.3958333333333333,1,Versatile Big Creator
Drew Eubanks,2021-22,1.232,0.255,22,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.055,0.0,0.0,1.408,0.28,1.513,0.144,1.038,0.096,1.1,0.074,17.5,0.417,0.3,0.171,0.1967213114754098,0.52,0.4,0.08,0.0576923076923076,0.040983606557377,0.0576923076923076,0.1538461538461538,4,Interior Big
Draymond Green,2021-22,1.164,0.167,46,0.0,0.0,0.0,0.0,0.0,0.0,0.636,0.05,0.471,0.039,1.027,0.084,0.842,0.043,0.922,0.205,0.8,0.183,28.9,0.417,1.2,0.14,1.5326086956521736,0.5111111111111112,0.4222222222222223,0.0666666666666666,0.2142857142857143,0.3043478260869565,0.0535714285714285,0.2321428571428571,14,Glue Guy
Larry Nance Jr.,2021-22,1.355,0.251,37,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.061,0.0,0.0,0.841,0.178,1.355,0.126,0.793,0.235,1.643,0.057,22.6,0.219,1.5,0.128,0.5606060606060606,0.6666666666666667,0.2564102564102564,0.0769230769230769,0.2777777777777777,0.106060606060606,0.037037037037037,0.3148148148148147,4,Interior Big
Stephen Curry,2021-22,1.266,0.042,64,0.93,0.103,1.197,0.076,1.051,0.167,0.0,0.0,1.019,0.274,1.083,0.008,1.385,0.008,1.116,0.101,1.083,0.165,34.5,0.438,11.7,0.293,0.4495798319327732,0.4324324324324324,0.2837837837837837,0.2837837837837837,0.6125654450261779,0.4033613445378152,0.4712041884816753,0.2722513089005235,0,Off-Guard Shot-Creator
P.J. Washington,2021-22,1.311,0.094,65,0.533,0.023,0.0,0.0,0.0,0.0,0.75,0.037,0.0,0.0,1.106,0.145,1.067,0.069,1.029,0.372,1.226,0.163,27.2,0.429,4.6,0.154,0.4526315789473684,0.75,0.2222222222222222,0.0277777777777777,0.5609756097560976,0.2736842105263158,0.073170731707317,0.5,2,Off-Ball Big
Dorian Finney-Smith,2021-22,1.234,0.079,80,0.944,0.022,0.0,0.0,0.941,0.021,0.0,0.0,0.692,0.032,1.179,0.048,1.095,0.052,1.083,0.52,1.364,0.163,33.0,0.523,5.4,0.138,0.3814432989690722,0.7187499999999999,0.2187499999999999,0.0625,0.6206896551724139,0.3298969072164949,0.0804597701149425,0.5977011494252874,6,Spot-Up Shooter
Hamidou Diallo,2021-22,1.283,0.093,58,0.857,0.044,0.969,0.05,0.5,0.016,0.0,0.0,0.808,0.114,1.0,0.023,1.26,0.078,0.832,0.286,1.205,0.198,21.9,0.209,1.6,0.213,0.2545454545454545,0.5135135135135136,0.3108108108108108,0.1756756756756757,0.1758241758241758,0.4545454545454545,0.1978021978021978,0.1758241758241758,3,Versatile Wing Slasher
Javonte Green,2021-22,1.262,0.153,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692,0.033,1.13,0.136,1.013,0.374,1.489,0.226,23.4,0.16,1.6,0.113,0.2881355932203389,0.7999999999999999,0.1714285714285714,0.0285714285714285,0.32,0.2033898305084745,0.04,0.32,2,Off-Ball Big
Andre Drummond,2021-22,1.389,0.202,24,0.0,0.0,0.0,0.0,0.0,0.0,0.806,0.135,0.0,0.0,1.4,0.169,0.831,0.266,0.0,0.0,1.706,0.064,19.7,0.214,0.0,0.181,0.2710280373831776,0.7931034482758621,0.1896551724137931,0.0172413793103448,0.0,0.0934579439252336,0.0169491525423728,0.0169491525423728,4,Interior Big
Keldon Johnson,2021-22,1.271,0.049,75,0.826,0.096,0.871,0.026,0.926,0.022,0.792,0.02,0.839,0.124,1.0,0.009,1.358,0.044,1.151,0.386,1.195,0.196,31.9,0.262,5.3,0.21,0.25,0.4634146341463415,0.426829268292683,0.1097560975609756,0.3925925925925926,0.5128205128205129,0.1259259259259259,0.3555555555555555,3,Versatile Wing Slasher
Bradley Beal,2021-22,1.644,0.045,40,0.822,0.074,0.898,0.128,0.841,0.089,1.0,0.01,0.802,0.351,0.0,0.0,1.3,0.02,0.896,0.116,1.135,0.112,36.0,0.368,5.3,0.297,0.4918032786885245,0.3571428571428571,0.35,0.2928571428571428,0.2746113989637305,0.7131147540983606,0.4196891191709844,0.155440414507772,9,Aggressive Guard
Julius Randle,2021-22,1.358,0.032,72,0.688,0.01,0.863,0.21,0.647,0.031,0.721,0.129,0.852,0.053,0.994,0.102,1.211,0.057,0.83,0.209,0.928,0.109,35.3,0.419,5.4,0.279,0.4420600858369098,0.411764705882353,0.2352941176470588,0.3529411764705882,0.3121387283236994,0.3862660944206008,0.3988439306358382,0.2080924855491329,13,Iso-Wing Creator
Otto Porter Jr.,2021-22,1.291,0.114,63,0.857,0.044,0.0,0.0,0.935,0.095,0.0,0.0,0.786,0.029,1.0,0.073,1.225,0.083,1.129,0.355,1.014,0.145,22.2,0.268,3.4,0.145,0.4358974358974358,0.4374999999999999,0.28125,0.28125,0.5151515151515151,0.1153846153846153,0.1515151515151515,0.5,6,Spot-Up Shooter
DeAndre' Bembry,2021-22,1.522,0.176,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.042,0.5,0.054,0.864,0.084,1.098,0.314,1.176,0.261,18.3,0.32,0.6,0.111,0.3518518518518518,0.8181818181818181,0.1818181818181818,0.0,0.1538461538461538,0.3333333333333333,0.0256410256410256,0.1794871794871795,2,Off-Ball Big
Josh Giddey,2021-22,1.373,0.058,54,1.028,0.041,0.979,0.054,0.0,0.0,0.0,0.0,0.65,0.354,0.0,0.0,0.932,0.05,0.612,0.214,1.042,0.163,31.5,0.497,3.9,0.218,0.7204968944099378,0.3999999999999999,0.4588235294117647,0.1411764705882353,0.314516129032258,0.7391304347826086,0.2661290322580645,0.25,15,Pass-First Willing Shooter
