PLAYER_NAME,Season,Cut PPP,Cut FREQ,GP,Handoff PPP,Handoff FREQ,Isolation PPP,Isolation FREQ,Misc PPP,Misc FREQ,OffScreen PPP,OffScreen FREQ,Postup PPP,Postup FREQ,PRBallHandler PPP,PRBallHandler FREQ,PRRollman PPP,PRRollman FREQ,OffRebound PPP,OffRebound FREQ,Spotup PPP,Spotup FREQ,Transition PPP,Transition FREQ,Total Poss,MIN,POTENTIAL_AST,DRIVE_PASSES_PCT,PULL_UP_FG3_PCT,CATCH_SHOOT_FG_PCT,FG3A,USG_PCT,POTENTIAL_AST FREQ,Restricted Area FREQ,In The Paint (Non-RA) FREQ,Mid-Range FREQ,3P FREQ,Drives FREQ,PULL_UP FREQ,CATCH_SHOOT FREQ
Bismack Biyombo,2021-22,1.188,0.236,36,0.0,0.0,0.0,0.0,0.579,0.094,0.0,0.0,0.905,0.103,0.0,0.0,1.123,0.32,0.944,0.177,0.0,0.0,1.25,0.059,5.5,14.1,1.0,0.0,0.0,0.125,0.0,0.167,0.18181818181818182,0.5853658536585367,0.3658536585365854,0.04878048780487806,0.0,0.0,0.025,0.05
Pat Connaughton,2021-22,1.4,0.072,65,1.067,0.082,0.0,0.0,0.556,0.033,1.0,0.047,0.0,0.0,0.762,0.038,1.297,0.067,1.364,0.02,1.161,0.438,1.274,0.192,8.0,26.0,2.5,0.504,0.308,0.401,5.7,0.137,0.3125,0.7,0.2,0.1,0.7500000000000001,0.2375,0.039473684210526314,0.7236842105263158
Rui Hachimura,2021-22,1.333,0.095,42,1.4,0.034,0.714,0.079,0.364,0.025,0.0,0.0,0.93,0.097,0.813,0.036,1.438,0.036,1.438,0.036,1.006,0.38,1.26,0.165,10.399999999999999,22.5,2.1,0.231,0.167,0.464,2.9,0.205,0.20192307692307696,0.3548387096774194,0.24193548387096772,0.4032258064516129,0.31868131868131866,0.27884615384615385,0.29670329670329676,0.3626373626373626
Thanasis Antetokounmpo,2021-22,1.024,0.35,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917,0.103,1.214,0.12,0.455,0.094,0.929,0.12,2.4,9.9,1.0,0.348,0.2,0.111,0.3,0.155,0.4166666666666667,0.8518518518518517,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.4166666666666667,0.07407407407407407,0.07407407407407407
Torrey Craig,2021-22,1.302,0.128,51,0.636,0.033,0.0,0.0,0.353,0.051,0.0,0.0,0.0,0.0,0.6,0.06,0.0,0.0,1.281,0.096,0.906,0.382,1.148,0.182,6.000000000000001,20.5,2.2,0.375,0.3,0.335,3.0,0.139,0.36666666666666664,0.6153846153846154,0.23076923076923075,0.15384615384615385,0.5263157894736842,0.24999999999999997,0.14035087719298245,0.49122807017543857
Trendon Watford,2021-22,1.077,0.147,48,0.0,0.0,1.133,0.042,0.3,0.085,0.0,0.0,1.154,0.073,0.0,0.0,0.882,0.096,1.286,0.099,0.778,0.153,1.239,0.26,6.9,18.1,3.5,0.333,0.0,0.288,0.8,0.169,0.5072463768115941,0.5416666666666667,0.3958333333333333,0.0625,0.14285714285714288,0.3333333333333333,0.10714285714285715,0.19642857142857145
Juan Toscano-Anderson,2021-22,1.018,0.164,73,0.0,0.0,0.846,0.039,0.524,0.125,1.214,0.042,0.417,0.036,0.632,0.057,0.857,0.063,1.154,0.039,0.939,0.296,1.044,0.134,4.6,13.6,3.7,0.483,0.385,0.292,1.2,0.144,0.8043478260869567,0.6818181818181818,0.2727272727272727,0.045454545454545456,0.37499999999999994,0.4565217391304348,0.0625,0.3125
OG Anunoby,2021-22,1.571,0.042,48,0.776,0.059,0.614,0.122,0.536,0.034,0.957,0.028,0.84,0.113,0.705,0.073,0.941,0.02,1.13,0.055,1.06,0.3,1.367,0.154,17.0,36.0,5.0,0.455,0.267,0.4,6.6,0.204,0.29411764705882354,0.55,0.2125,0.2375,0.4551724137931034,0.41764705882352937,0.2689655172413793,0.35172413793103446
Terry Rozier,2021-22,1.571,0.026,73,0.925,0.081,1.0,0.051,0.842,0.043,1.193,0.09,0.0,0.0,0.842,0.177,1.043,0.017,1.378,0.028,1.132,0.275,1.072,0.211,18.5,33.7,8.3,0.483,0.346,0.394,8.1,0.227,0.4486486486486487,0.4430379746835444,0.329113924050633,0.22784810126582283,0.50625,0.5459459459459459,0.33125,0.35
Myles Turner,2021-22,1.41,0.08,42,0.4,0.02,0.0,0.0,0.293,0.084,0.0,0.0,1.161,0.127,0.0,0.0,1.16,0.165,1.543,0.071,1.112,0.327,1.204,0.1,11.299999999999999,29.4,1.4,0.107,0.273,0.351,4.4,0.173,0.12389380530973451,0.5599999999999999,0.36,0.08,0.46808510638297873,0.15929203539823011,0.07446808510638298,0.46808510638297873
