PLAYER_NAME,POTENTIAL_AST,Season,DRIVES,DRIVE_PASSES_PCT,PULL_UP_FGA,PULL_UP_FG3_PCT,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_FGA,Restricted Area FGA,In The Paint (Non-RA) FGA,Mid-Range FGA,2PA,FGA,FG3A,USG_PCT
Wenyen Gabriel,1.2,2021-22,1.0,0.269,0.1,1.0,0.25,1.1,2.4,0.7,0.1,3.1999999999999997,4.2,1.1,0.165
Wes Iwundu,2.0,2021-22,2.3,0.429,1.0,,0.571,2.3,2.3,0.0,2.0,4.3,6.0,1.7,0.111
Wesley Matthews,1.3,2021-22,1.3,0.339,0.5,0.111,0.364,2.9,0.8,0.4,0.1,1.3000000000000003,4.5,3.2,0.104
Will Barton,6.6,2021-22,6.1,0.389,4.0,0.338,0.382,4.0,3.0,2.0,1.5,6.5,12.6,6.1,0.205
Willie Cauley-Stein,0.8,2021-22,0.3,0.4,0.1,,0.4,0.3,1.2,0.4,0.1,1.7000000000000002,1.8,0.1,0.099
Willy Hernangomez,2.2,2021-22,0.2,0.182,0.2,0.25,0.353,0.3,4.5,1.8,0.2,6.5,6.5,0.2,0.211
Xavier Moon,4.0,2021-22,1.6,0.25,2.8,0.4,0.2,1.0,0.6,0.5,2.6,3.7,5.1,1.4,0.177
Xavier Sneed,0.1,2021-22,0.1,0.0,0.2,0.0,0.143,0.8,0.1,0.1,0.0,0.2,1.1,0.9,0.109
Xavier Tillman Sr.,2.1,2021-22,0.6,0.242,0.5,0.25,0.24,0.9,1.8,1.1,0.3,3.2,4.1,0.9,0.164
Yuta Watanabe,1.2,2021-22,1.1,0.302,0.4,0.0,0.372,2.1,0.7,0.6,0.3,1.5999999999999999,3.6,2.1,0.161
Yves Pons,0.4,2021-22,0.3,0.667,0.0,,0.375,0.7,0.4,0.3,0.0,0.7,1.3,0.8,0.096
Zach Collins,3.5,2021-22,0.4,0.455,0.2,,0.462,1.9,2.1,1.2,0.7,4.0,5.5,1.5,0.184
Zach LaVine,8.8,2021-22,9.9,0.278,8.5,0.333,0.455,2.8,5.2,1.7,3.7,10.600000000000001,17.7,7.1,0.284
Zavier Simpson,16.0,2021-22,20.5,0.463,3.0,0.0,0.25,1.0,4.3,5.5,1.3,11.100000000000001,13.0,2.0,0.158
Zeke Nnaji,0.8,2021-22,0.6,0.292,0.1,,0.456,2.2,1.9,0.4,0.3,2.5999999999999996,4.5,2.0,0.146
Ziaire Williams,1.8,2021-22,1.2,0.316,1.4,0.24,0.339,3.5,1.4,0.8,0.8,3.0,6.8,3.9,0.144
Zylan Cheatham,0.0,2021-22,0.0,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,0.25
