PLAYER_NAME,Season,DEF Handoff PPP,DEF Handoff FREQ,GP,DEF Isolation PPP,DEF Isolation FREQ,DEF OffScreen PPP,DEF OffScreen FREQ,DEF Postup PPP,DEF Postup FREQ,DEF PRBallHandler PPP,DEF PRBallHandler FREQ,DEF PRRollman PPP,DEF PRRollman FREQ,DEF Spotup PPP,DEF Spotup FREQ,FREQ 3 Pointers,PLUSMINUS 3 Pointers,FREQ Less Than 6Ft,PLUSMINUS Less Than 6Ft,FREQ Less Than 10Ft,PLUSMINUS Less Than 10Ft,MIN,DEFLECTIONS,PCT_LOOSE_BALLS_RECOVERED_DEF,REB_CONTEST_PCT,AVG_REB_DIST,DIST_MILES_DEF,AVG_SPEED_DEF,DEFLECTIONS Per36
Abdel Nader,2018-19,0.632,0.072,60,1.154,0.098,0.875,0.121,0.727,0.042,0.899,0.3,0.0,0.0,0.774,0.318,0.347,-0.041,0.368,0.011,0.444,0.024,11.4,0.51,0.48,0.211,8.5,0.45,4.27,1.6105263157894738
Jose Calderon,2018-19,0.632,0.095,49,0.923,0.065,0.963,0.136,0.0,0.0,0.722,0.27,0.0,0.0,1.141,0.322,0.338,0.043,0.343,0.009,0.477,0.017,12.9,0.76,0.524,0.133,10.2,0.43,3.92,2.1209302325581394
Dragan Bender,2018-19,1.3,0.025,46,0.896,0.121,0.7,0.025,0.857,0.159,0.0,0.0,1.417,0.06,1.08,0.219,0.275,0.032,0.457,-0.107,0.565,-0.081,18.0,0.57,0.765,0.377,4.6,0.6,3.77,1.14
Isaiah Canaan,2018-19,1.182,0.058,19,0.0,0.0,1.222,0.094,0.0,0.0,0.948,0.51,0.0,0.0,0.784,0.194,0.367,-0.012,0.386,0.093,0.46,0.079,20.9,0.77,0.481,0.155,10.5,0.7,3.95,1.3263157894736843
Jared Dudley,2018-19,1.083,0.03,59,0.842,0.094,0.0,0.0,0.86,0.141,0.71,0.08,1.222,0.045,0.842,0.33,0.32,0.021,0.385,-0.07,0.481,-0.054,20.7,0.86,0.724,0.303,6.4,0.65,3.63,1.4956521739130435
Jordan McRae,2018-19,1.0,0.124,27,0.8,0.095,1.091,0.105,0.0,0.0,0.913,0.22,0.0,0.0,0.882,0.324,0.364,0.058,0.47,0.028,0.515,0.011,12.3,0.74,0.75,0.225,9.2,0.42,3.67,2.165853658536585
Mitchell Robinson,2018-19,0.867,0.021,66,0.902,0.115,1.667,0.017,0.614,0.08,1.0,0.02,1.163,0.06,0.913,0.257,0.331,-0.022,0.388,-0.054,0.47,-0.063,20.6,1.36,0.553,0.504,5.8,0.74,4.02,2.376699029126214
Jonas Jerebko,2018-19,0.684,0.046,73,0.901,0.198,1.0,0.046,0.905,0.102,0.706,0.08,1.176,0.041,0.743,0.276,0.356,-0.016,0.365,0.017,0.454,0.024,16.7,0.52,0.436,0.389,6.1,0.6,3.97,1.1209580838323354
Dario Saric,2018-19,0.65,0.036,68,0.86,0.102,0.952,0.038,0.857,0.075,0.784,0.07,1.158,0.068,0.979,0.339,0.363,0.032,0.388,-0.05,0.479,-0.053,25.0,1.11,0.465,0.422,5.9,0.89,4.01,1.5984
Dario Saric,2018-19,0.0,0.0,13,0.767,0.216,0.0,0.0,1.053,0.137,0.923,0.09,0.0,0.0,1.214,0.201,0.363,0.032,0.388,-0.05,0.479,-0.053,25.0,1.11,0.465,0.422,5.9,0.89,4.01,1.5984
Garrett Temple,2018-19,0.65,0.107,26,1.0,0.107,0.929,0.075,0.0,0.0,1.21,0.43,0.0,0.0,0.902,0.219,0.363,-0.013,0.379,-0.008,0.457,-0.005,27.2,1.99,0.629,0.245,9.2,0.96,4.06,2.6338235294117647
Garrett Temple,2018-19,0.767,0.109,49,1.02,0.091,1.357,0.076,1.118,0.031,1.049,0.41,1.167,0.022,1.121,0.24,0.363,-0.013,0.379,-0.008,0.457,-0.005,27.2,1.99,0.629,0.245,9.2,0.96,4.06,2.6338235294117647
Kelly Oubre Jr.,2018-19,0.591,0.057,40,0.964,0.073,0.628,0.111,0.963,0.07,0.868,0.3,0.917,0.031,1.058,0.313,0.363,-0.033,0.429,0.011,0.49,0.028,28.0,3.01,0.554,0.332,6.3,1.02,3.99,3.87
Kelly Oubre Jr.,2018-19,1.222,0.104,29,0.722,0.069,1.034,0.112,1.1,0.077,0.767,0.28,0.0,0.0,1.06,0.32,0.363,-0.033,0.429,0.011,0.49,0.028,28.0,3.01,0.554,0.332,6.3,1.02,3.99,3.87
Henry Ellenson,2018-19,1.4,0.108,18,1.611,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.323,0.321,0.093,0.376,-0.05,0.514,0.015,13.6,0.32,0.5,0.258,4.4,0.49,4.16,0.8470588235294118
Jaron Blossomgame,2018-19,1.167,0.094,28,0.0,0.0,0.5,0.079,1.0,0.079,0.667,0.19,0.0,0.0,1.152,0.362,0.345,0.013,0.509,-0.101,0.558,-0.066,16.3,0.56,0.667,0.296,4.7,0.55,3.99,1.2368098159509204
Noah Vonleh,2018-19,1.077,0.02,68,0.843,0.165,1.2,0.023,1.075,0.122,0.875,0.09,1.036,0.043,1.107,0.242,0.301,0.015,0.406,-0.052,0.505,-0.031,25.3,1.13,0.613,0.373,5.0,0.87,3.89,1.6079051383399205
Dennis Smith Jr.,2018-19,1.0,0.058,21,1.2,0.062,1.25,0.049,0.92,0.103,0.923,0.37,1.2,0.041,0.928,0.284,0.388,-0.019,0.359,-0.012,0.435,-0.011,28.5,2.4,0.585,0.213,8.6,0.97,3.89,3.031578947368421
Dennis Smith Jr.,2018-19,0.688,0.087,32,0.692,0.071,0.885,0.071,0.72,0.068,0.911,0.37,0.0,0.0,0.972,0.298,0.388,-0.019,0.359,-0.012,0.435,-0.011,28.5,2.4,0.585,0.213,8.6,0.97,3.89,3.031578947368421
Tyler Johnson,2018-19,1.0,0.108,13,0.0,0.0,0.0,0.0,0.0,0.0,0.891,0.49,0.0,0.0,0.84,0.192,0.418,0.006,0.331,0.032,0.404,0.039,26.8,1.53,0.595,0.156,9.1,0.93,3.93,2.055223880597015
Tyler Johnson,2018-19,0.714,0.095,44,1.227,0.06,0.76,0.068,1.35,0.054,0.648,0.35,0.0,0.0,1.06,0.316,0.418,0.006,0.331,0.032,0.404,0.039,26.8,1.53,0.595,0.156,9.1,0.93,3.93,2.055223880597015
