PLAYER_NAME,GP_x,G_x,FREQ 3 Pointers,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS 3 Pointers,Season,GP_y,G_y,FREQ Less Than 6Ft,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS Less Than 6Ft,GP,G,FREQ Less Than 10Ft,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS Less Than 10Ft
Zach LaVine,61,59,0.476,2.02,5.18,0.389,0.355,0.035,2018-19,61,58,0.301,2.13,3.28,0.65,0.604,0.046,61,59,0.372,2.38,4.05,0.587,0.563,0.024
Brook Lopez,81,77,0.244,1.93,5.05,0.381,0.347,0.035,2018-19,81,79,0.32,3.4,6.6,0.514,0.62,-0.105,81,81,0.428,4.2,8.85,0.474,0.579,-0.105
Dennis Smith Jr.,53,53,0.388,1.7,5.02,0.338,0.357,-0.019,2018-19,53,52,0.359,2.68,4.64,0.577,0.589,-0.012,53,53,0.435,3.04,5.62,0.54,0.552,-0.011
RJ Hunter,1,1,0.417,0.0,5.0,0.0,0.294,-0.294,2018-19,1,1,0.417,2.0,5.0,0.4,0.632,-0.232,1,1,0.417,2.0,5.0,0.4,0.576,-0.176
John Collins,61,61,0.383,1.82,4.98,0.365,0.351,0.014,2018-19,61,61,0.413,3.1,5.38,0.576,0.615,-0.039,61,61,0.494,3.43,6.43,0.533,0.575,-0.042
Thaddeus Young,81,81,0.4,1.84,4.96,0.371,0.352,0.018,2018-19,81,80,0.349,2.63,4.33,0.607,0.626,-0.019,81,81,0.445,3.11,5.53,0.563,0.584,-0.021
Robert Covington,34,34,0.371,1.94,4.88,0.398,0.367,0.031,2018-19,34,32,0.384,2.85,5.06,0.564,0.598,-0.034,34,34,0.464,3.09,6.12,0.505,0.555,-0.05
Josh Richardson,73,73,0.381,1.63,4.86,0.335,0.356,-0.021,2018-19,73,72,0.332,2.6,4.23,0.615,0.605,0.009,73,72,0.415,2.97,5.3,0.561,0.56,0.0
Giannis Antetokounmpo,72,72,0.413,1.58,4.85,0.327,0.349,-0.023,2018-19,72,70,0.354,2.11,4.15,0.508,0.615,-0.106,72,70,0.425,2.46,4.99,0.493,0.576,-0.083
Marcus Smart,80,79,0.484,1.6,4.84,0.331,0.357,-0.026,2018-19,80,77,0.281,1.86,2.81,0.662,0.607,0.055,80,78,0.348,2.05,3.48,0.59,0.565,0.025
Jeff Green,76,75,0.385,1.87,4.84,0.386,0.355,0.031,2018-19,76,76,0.395,2.92,4.97,0.587,0.612,-0.024,76,76,0.477,3.36,6.0,0.559,0.572,-0.013
Tim Hardaway Jr.,64,64,0.432,1.86,4.81,0.386,0.36,0.027,2018-19,64,63,0.328,2.41,3.66,0.658,0.606,0.052,64,64,0.4,2.78,4.45,0.625,0.569,0.055
Collin Sexton,82,79,0.413,1.95,4.8,0.406,0.359,0.047,2018-19,82,81,0.378,3.13,4.4,0.712,0.596,0.116,82,81,0.438,3.4,5.1,0.667,0.558,0.11
Julius Randle,73,72,0.362,1.77,4.77,0.371,0.351,0.02,2018-19,73,73,0.375,2.82,4.95,0.571,0.615,-0.045,73,73,0.459,3.23,6.05,0.534,0.576,-0.042
Brandon Ingram,52,50,0.405,1.5,4.77,0.315,0.356,-0.042,2018-19,52,50,0.344,2.25,4.06,0.555,0.602,-0.048,52,52,0.416,2.6,4.9,0.529,0.559,-0.03
Mike Conley,70,67,0.417,1.81,4.74,0.383,0.357,0.025,2018-19,70,66,0.341,2.34,3.89,0.603,0.59,0.013,70,66,0.425,2.71,4.84,0.56,0.554,0.006
