PLAYER_NAME,GP_x,G_x,FREQ 3 Pointers,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS 3 Pointers,Season,GP_y,G_y,FREQ Less Than 6Ft,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS Less Than 6Ft,GP,G,FREQ Less Than 10Ft,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS Less Than 10Ft
Brandon Ingram,62,61,0.37,1.6,4.39,0.364,0.358,0.006,2019-20,62,61,0.419,2.81,4.97,0.565,0.614,-0.049,62,62,0.499,3.18,5.92,0.537,0.569,-0.033
Thaddeus Young,64,62,0.388,1.58,4.38,0.361,0.355,0.005,2019-20,64,63,0.392,2.73,4.42,0.618,0.621,-0.003,64,64,0.472,3.0,5.33,0.563,0.579,-0.016
Tristan Thompson,57,55,0.296,1.49,4.37,0.341,0.357,-0.016,2019-20,57,56,0.369,2.91,5.46,0.534,0.621,-0.087,57,57,0.486,3.58,7.18,0.499,0.583,-0.084
Marcus Morris Sr.,62,62,0.416,1.74,4.37,0.399,0.36,0.038,2019-20,62,60,0.33,2.15,3.47,0.619,0.623,-0.005,62,61,0.422,2.4,4.44,0.542,0.579,-0.037
Russell Westbrook,57,57,0.408,1.7,4.37,0.39,0.362,0.028,2019-20,57,55,0.35,2.26,3.75,0.603,0.605,-0.002,57,56,0.45,2.63,4.82,0.545,0.565,-0.019
Talen Horton-Tucker,6,6,0.553,1.83,4.33,0.423,0.325,0.098,2019-20,6,4,0.34,1.33,2.67,0.5,0.647,-0.147,6,5,0.404,1.67,3.17,0.526,0.593,-0.067
Devin Booker,70,70,0.365,1.5,4.31,0.348,0.36,-0.012,2019-20,70,67,0.394,2.87,4.66,0.617,0.609,0.007,70,69,0.489,3.41,5.79,0.59,0.568,0.022
Mike Conley,47,44,0.383,1.45,4.3,0.337,0.356,-0.019,2019-20,47,47,0.39,2.85,4.38,0.65,0.607,0.044,47,47,0.458,3.21,5.15,0.624,0.564,0.06
Blake Griffin,17,16,0.41,1.82,4.29,0.425,0.345,0.08,2019-20,17,17,0.343,2.18,3.59,0.607,0.616,-0.01,17,17,0.399,2.59,4.18,0.62,0.568,0.052
Buddy Hield,72,70,0.347,1.56,4.26,0.365,0.361,0.004,2019-20,72,71,0.424,3.15,5.21,0.605,0.606,-0.001,72,71,0.505,3.54,6.19,0.572,0.566,0.006
Danny Green,68,65,0.37,1.65,4.25,0.388,0.367,0.02,2019-20,68,65,0.38,2.66,4.37,0.609,0.614,-0.004,68,66,0.451,3.0,5.19,0.578,0.572,0.006
Luka Doncic,59,59,0.357,1.41,4.25,0.331,0.359,-0.028,2019-20,59,57,0.445,3.17,5.31,0.597,0.608,-0.01,59,57,0.516,3.53,6.15,0.573,0.565,0.008
Ben Simmons,57,56,0.327,1.54,4.25,0.364,0.364,-0.001,2019-20,57,55,0.36,2.75,4.67,0.59,0.61,-0.02,57,55,0.448,3.14,5.81,0.541,0.569,-0.028
Kris Dunn,50,50,0.428,1.46,4.22,0.346,0.367,-0.021,2019-20,50,45,0.361,2.28,3.56,0.64,0.618,0.022,50,46,0.444,2.56,4.38,0.584,0.571,0.014
Spencer Dinwiddie,64,64,0.371,1.58,4.22,0.374,0.353,0.021,2019-20,64,62,0.329,2.28,3.73,0.611,0.606,0.005,64,63,0.447,2.75,5.08,0.542,0.558,-0.017
OG Anunoby,68,67,0.424,1.54,4.21,0.367,0.359,0.008,2019-20,68,62,0.319,1.81,3.16,0.572,0.617,-0.045,68,66,0.396,2.15,3.93,0.547,0.575,-0.029
Norman Powell,52,52,0.458,1.37,4.21,0.324,0.357,-0.033,2019-20,52,50,0.354,2.02,3.25,0.621,0.607,0.015,52,50,0.431,2.27,3.96,0.573,0.563,0.01
Paul Millsap,51,50,0.374,1.43,4.2,0.341,0.355,-0.013,2019-20,51,50,0.378,2.65,4.24,0.625,0.629,-0.004,51,50,0.458,3.08,5.14,0.599,0.586,0.013
Jaren Jackson Jr.,57,55,0.295,1.53,4.18,0.366,0.359,0.006,2019-20,57,57,0.419,3.23,5.93,0.544,0.624,-0.079,57,57,0.52,3.75,7.35,0.511,0.581,-0.07
Evan Fournier,66,65,0.366,1.65,4.17,0.396,0.37,0.026,2019-20,66,65,0.391,2.86,4.45,0.643,0.611,0.032,66,66,0.461,3.05,5.26,0.579,0.565,0.014
Shai Gilgeous-Alexander,70,69,0.333,1.4,4.17,0.336,0.356,-0.02,2019-20,70,69,0.452,3.46,5.67,0.61,0.606,0.003,70,69,0.513,3.77,6.43,0.587,0.562,0.024
Derrick Jones Jr.,56,51,0.429,1.3,4.16,0.313,0.364,-0.051,2019-20,56,53,0.308,1.86,2.98,0.623,0.607,0.016,56,56,0.4,2.2,3.88,0.567,0.568,-0.002
Serge Ibaka,55,52,0.276,1.29,4.16,0.31,0.356,-0.046,2019-20,55,55,0.429,3.24,6.47,0.5,0.612,-0.112,55,55,0.513,3.78,7.73,0.489,0.574,-0.084
Malcolm Brogdon,54,54,0.348,1.37,4.15,0.33,0.361,-0.031,2019-20,54,52,0.373,2.5,4.44,0.563,0.612,-0.049,54,54,0.489,3.06,5.83,0.524,0.568,-0.044
Royce O'Neale,71,68,0.343,1.42,4.14,0.344,0.362,-0.018,2019-20,71,69,0.381,2.76,4.59,0.601,0.612,-0.011,71,70,0.459,3.17,5.54,0.573,0.566,0.006
Mychal Mulder,7,7,0.367,1.57,4.14,0.379,0.37,0.01,2019-20,7,7,0.43,3.14,4.86,0.647,0.624,0.024,7,7,0.532,3.29,6.0,0.548,0.573,-0.026
Mitchell Robinson,61,58,0.322,1.61,4.13,0.389,0.354,0.035,2019-20,61,60,0.35,2.49,4.49,0.555,0.62,-0.065,61,61,0.445,2.84,5.7,0.497,0.583,-0.086
Dion Waiters,10,10,0.554,1.5,4.1,0.366,0.353,0.013,2019-20,10,8,0.27,1.5,2.0,0.75,0.634,0.116,10,9,0.365,1.9,2.7,0.704,0.575,0.129
Gary Harris,56,55,0.434,1.46,4.09,0.358,0.361,-0.003,2019-20,56,54,0.318,1.86,3.0,0.619,0.615,0.004,56,54,0.383,2.04,3.61,0.564,0.573,-0.009
James Johnson,32,30,0.432,1.47,4.06,0.362,0.361,0.001,2019-20,32,28,0.309,1.63,2.91,0.559,0.596,-0.037,32,28,0.389,1.84,3.66,0.504,0.557,-0.052
Aaron Gordon,62,61,0.338,1.31,4.05,0.323,0.362,-0.039,2019-20,62,62,0.417,2.71,5.0,0.542,0.624,-0.082,62,62,0.51,3.18,6.11,0.52,0.583,-0.063
Damion Lee,48,47,0.394,1.79,4.04,0.443,0.366,0.078,2019-20,48,47,0.376,2.71,3.85,0.703,0.62,0.083,48,48,0.457,3.08,4.69,0.658,0.575,0.082
Jeremy Lamb,46,45,0.347,1.26,4.04,0.312,0.369,-0.057,2019-20,46,45,0.418,2.91,4.87,0.598,0.608,-0.01,46,45,0.485,3.3,5.65,0.585,0.563,0.022
Nikola Jokic,73,71,0.233,1.52,4.03,0.378,0.359,0.019,2019-20,73,72,0.451,4.75,7.79,0.61,0.643,-0.033,73,72,0.556,5.4,9.6,0.562,0.603,-0.041
Landry Shamet,53,51,0.392,1.45,4.02,0.362,0.362,0.0,2019-20,53,50,0.326,1.94,3.34,0.582,0.603,-0.021,53,52,0.414,2.42,4.25,0.569,0.565,0.004
Kevin Love,56,54,0.287,1.43,4.02,0.356,0.359,-0.003,2019-20,56,56,0.455,4.18,6.36,0.657,0.612,0.046,56,56,0.553,4.7,7.73,0.607,0.576,0.031
Taurean Prince,64,63,0.36,1.28,4.02,0.319,0.354,-0.035,2019-20,64,62,0.408,2.77,4.55,0.608,0.615,-0.006,64,63,0.475,3.11,5.3,0.587,0.572,0.015
Khris Middleton,61,59,0.445,1.46,4.02,0.363,0.357,0.007,2019-20,61,57,0.313,1.46,2.82,0.517,0.609,-0.092,61,58,0.387,1.74,3.49,0.498,0.565,-0.068
Kevin Porter Jr.,50,49,0.411,1.68,4.02,0.418,0.356,0.062,2019-20,50,48,0.405,2.54,3.96,0.641,0.598,0.043,50,48,0.472,2.76,4.62,0.597,0.556,0.042
Andre Drummond,56,51,0.221,1.7,4.02,0.422,0.354,0.068,2019-20,56,56,0.436,4.8,7.91,0.607,0.631,-0.024,56,56,0.533,5.68,9.68,0.587,0.591,-0.004
Luka Samanic,3,3,0.387,1.0,4.0,0.25,0.337,-0.087,2019-20,3,3,0.387,2.33,4.0,0.583,0.598,-0.014,3,3,0.516,3.0,5.33,0.563,0.553,0.01
Caris LeVert,45,43,0.391,1.49,4.0,0.372,0.356,0.016,2019-20,45,43,0.313,2.11,3.2,0.66,0.604,0.055,45,44,0.398,2.51,4.07,0.617,0.56,0.057
Al Horford,67,67,0.258,1.37,4.0,0.343,0.349,-0.006,2019-20,67,67,0.399,3.87,6.19,0.624,0.622,0.002,67,67,0.47,4.25,7.3,0.583,0.582,0.001
Garrett Temple,62,61,0.371,1.34,3.98,0.336,0.356,-0.02,2019-20,62,58,0.353,2.35,3.79,0.621,0.6,0.021,62,60,0.43,2.56,4.61,0.556,0.558,-0.002
Kevin Huerter,56,54,0.353,1.59,3.96,0.401,0.365,0.036,2019-20,56,56,0.45,3.21,5.05,0.636,0.603,0.033,56,56,0.525,3.63,5.89,0.615,0.559,0.056
George Hill,58,58,0.465,1.43,3.95,0.362,0.354,0.008,2019-20,58,51,0.264,1.26,2.24,0.562,0.602,-0.041,58,54,0.339,1.5,2.88,0.521,0.558,-0.037
Paul George,48,47,0.374,1.42,3.94,0.36,0.361,-0.002,2019-20,48,46,0.382,2.31,4.02,0.575,0.622,-0.047,48,47,0.459,2.73,4.83,0.565,0.58,-0.015
Kelly Oubre Jr.,55,54,0.37,1.4,3.93,0.356,0.365,-0.008,2019-20,55,52,0.409,2.49,4.35,0.573,0.607,-0.034,55,55,0.479,2.85,5.09,0.561,0.567,-0.006
Dennis Schroder,65,62,0.358,1.37,3.92,0.349,0.365,-0.016,2019-20,65,65,0.401,2.48,4.4,0.563,0.607,-0.045,65,65,0.482,2.78,5.29,0.526,0.565,-0.039
Ricky Rubio,64,61,0.371,1.42,3.92,0.363,0.359,0.004,2019-20,64,64,0.402,2.81,4.25,0.662,0.61,0.052,64,64,0.493,3.3,5.22,0.632,0.566,0.065
Luguentz Dort,36,36,0.427,1.19,3.92,0.305,0.363,-0.058,2019-20,36,31,0.312,1.5,2.86,0.524,0.607,-0.083,36,33,0.412,1.92,3.78,0.507,0.563,-0.056
Chris Paul,70,69,0.396,1.37,3.91,0.35,0.365,-0.015,2019-20,70,68,0.389,2.6,3.84,0.677,0.613,0.064,70,69,0.465,2.83,4.6,0.615,0.57,0.045
Kent Bazemore,68,66,0.368,1.38,3.9,0.355,0.355,0.0,2019-20,68,65,0.397,2.37,4.21,0.563,0.612,-0.049,68,66,0.484,2.72,5.13,0.53,0.57,-0.04
Trae Young,60,58,0.307,1.45,3.9,0.372,0.357,0.014,2019-20,60,60,0.426,3.67,5.4,0.679,0.591,0.088,60,60,0.536,4.17,6.8,0.613,0.546,0.067
Glenn Robinson III,62,59,0.356,1.69,3.89,0.436,0.366,0.07,2019-20,62,59,0.406,2.82,4.44,0.636,0.618,0.019,62,59,0.486,3.21,5.31,0.605,0.575,0.03
Josh Hart,65,64,0.332,1.23,3.88,0.317,0.36,-0.043,2019-20,65,64,0.451,3.14,5.28,0.595,0.618,-0.023,65,65,0.532,3.48,6.22,0.559,0.574,-0.014
Eric Paschall,60,58,0.418,1.38,3.88,0.356,0.359,-0.003,2019-20,60,54,0.362,2.1,3.37,0.624,0.615,0.009,60,57,0.437,2.35,4.07,0.578,0.574,0.003
Tyler Herro,55,55,0.383,1.27,3.87,0.329,0.356,-0.028,2019-20,55,53,0.414,2.89,4.18,0.691,0.613,0.079,55,54,0.473,3.04,4.78,0.635,0.568,0.067
Dejounte Murray,65,64,0.375,1.32,3.86,0.343,0.362,-0.019,2019-20,65,62,0.436,2.86,4.49,0.637,0.618,0.019,65,65,0.503,3.15,5.18,0.608,0.574,0.034
Darius Garland,59,58,0.326,1.46,3.86,0.377,0.365,0.012,2019-20,59,59,0.49,3.93,5.81,0.676,0.598,0.078,59,59,0.554,4.27,6.58,0.649,0.554,0.095
Jayson Tatum,66,64,0.379,1.35,3.86,0.349,0.361,-0.012,2019-20,66,64,0.422,2.5,4.3,0.581,0.605,-0.024,66,64,0.489,2.77,4.98,0.556,0.564,-0.008
Davis Bertans,54,53,0.299,1.52,3.85,0.394,0.355,0.04,2019-20,54,53,0.449,3.35,5.78,0.58,0.618,-0.038,54,54,0.545,3.93,7.02,0.559,0.574,-0.014
LaMarcus Aldridge,52,50,0.221,1.29,3.85,0.335,0.358,-0.023,2019-20,52,52,0.337,3.25,5.87,0.554,0.627,-0.073,52,52,0.454,4.0,7.9,0.506,0.585,-0.079
Patrick Beverley,51,44,0.409,1.33,3.84,0.347,0.365,-0.018,2019-20,51,49,0.328,1.8,3.08,0.586,0.615,-0.029,51,49,0.39,1.98,3.67,0.54,0.569,-0.029
Nikola Vucevic,62,58,0.21,1.55,3.81,0.407,0.358,0.049,2019-20,62,62,0.393,4.29,7.11,0.603,0.626,-0.022,62,62,0.498,5.02,9.02,0.556,0.585,-0.028
Gabe Vincent,5,5,0.679,1.4,3.8,0.368,0.346,0.022,2019-20,5,3,0.179,0.8,1.0,0.8,0.599,0.201,5,4,0.286,0.8,1.6,0.5,0.543,-0.043
Clint Capela,39,39,0.225,1.23,3.79,0.324,0.359,-0.035,2019-20,39,39,0.431,4.56,7.28,0.627,0.636,-0.009,39,39,0.537,5.18,9.08,0.571,0.593,-0.022
Rui Hachimura,48,46,0.318,1.44,3.79,0.379,0.361,0.018,2019-20,48,48,0.449,3.54,5.35,0.661,0.625,0.037,48,48,0.539,4.04,6.44,0.628,0.576,0.051
Markelle Fultz,72,72,0.367,1.47,3.79,0.388,0.363,0.025,2019-20,72,70,0.362,2.29,3.74,0.613,0.6,0.013,72,72,0.451,2.67,4.65,0.573,0.554,0.019
Daniel Theis,65,59,0.259,1.25,3.78,0.329,0.358,-0.029,2019-20,65,65,0.445,3.55,6.51,0.546,0.622,-0.076,65,65,0.542,4.17,7.92,0.526,0.582,-0.056
Jabari Parker,37,35,0.353,1.46,3.78,0.386,0.356,0.03,2019-20,37,35,0.413,2.84,4.43,0.64,0.623,0.017,37,35,0.499,3.32,5.35,0.621,0.583,0.038
Marvin Bagley III,13,13,0.314,1.08,3.77,0.286,0.364,-0.079,2019-20,13,13,0.468,3.38,5.62,0.603,0.633,-0.03,13,13,0.532,3.77,6.38,0.59,0.594,-0.004
Lou Williams,65,62,0.4,1.26,3.77,0.335,0.356,-0.021,2019-20,65,63,0.367,2.2,3.46,0.636,0.593,0.043,65,63,0.432,2.38,4.08,0.585,0.553,0.032
Al-Farouq Aminu,17,16,0.413,1.47,3.76,0.391,0.356,0.035,2019-20,17,15,0.4,2.0,3.65,0.548,0.631,-0.083,17,16,0.51,2.53,4.65,0.544,0.587,-0.043
Terrence Ross,69,67,0.435,1.36,3.75,0.363,0.363,0.0,2019-20,69,67,0.394,2.04,3.41,0.6,0.608,-0.008,69,69,0.468,2.26,4.04,0.559,0.567,-0.007
Darius Bazley,60,58,0.405,1.2,3.75,0.32,0.36,-0.04,2019-20,60,56,0.39,2.13,3.62,0.59,0.604,-0.014,60,57,0.455,2.45,4.22,0.581,0.563,0.018
Pat Connaughton,65,59,0.402,1.28,3.74,0.342,0.361,-0.02,2019-20,65,60,0.286,1.38,2.66,0.52,0.601,-0.08,65,63,0.374,1.74,3.48,0.5,0.555,-0.055
Rudy Gay,66,66,0.394,1.53,3.74,0.409,0.353,0.055,2019-20,66,61,0.38,1.91,3.61,0.529,0.605,-0.075,66,63,0.463,2.2,4.39,0.5,0.564,-0.064
Danilo Gallinari,62,60,0.368,1.29,3.73,0.346,0.358,-0.012,2019-20,62,59,0.381,2.44,3.85,0.632,0.622,0.01,62,60,0.475,2.97,4.81,0.617,0.582,0.036
Bojan Bogdanovic,63,63,0.38,1.46,3.73,0.391,0.358,0.033,2019-20,63,61,0.346,2.11,3.4,0.621,0.608,0.014,63,63,0.432,2.41,4.24,0.569,0.568,0.001
Donovan Mitchell,69,69,0.386,1.42,3.71,0.383,0.357,0.026,2019-20,69,66,0.33,2.03,3.17,0.639,0.61,0.03,69,68,0.419,2.39,4.03,0.594,0.564,0.03
Justin Holiday,73,73,0.364,1.12,3.7,0.304,0.358,-0.054,2019-20,73,70,0.41,2.44,4.16,0.586,0.609,-0.023,73,71,0.503,2.82,5.11,0.552,0.568,-0.016
Troy Brown Jr.,69,69,0.354,1.38,3.68,0.374,0.357,0.017,2019-20,69,68,0.432,2.93,4.49,0.652,0.607,0.045,69,68,0.521,3.29,5.42,0.607,0.563,0.044
Josh Richardson,54,52,0.336,1.35,3.67,0.369,0.359,0.01,2019-20,54,54,0.375,2.44,4.09,0.597,0.593,0.005,54,54,0.47,2.93,5.13,0.57,0.553,0.017
Joel Embiid,51,46,0.204,1.18,3.65,0.323,0.35,-0.027,2019-20,51,50,0.387,3.98,6.92,0.575,0.627,-0.052,51,51,0.476,4.55,8.51,0.535,0.586,-0.052
Tobias Harris,72,67,0.335,1.38,3.65,0.376,0.363,0.014,2019-20,72,72,0.401,2.82,4.38,0.644,0.615,0.03,72,72,0.48,3.11,5.24,0.594,0.572,0.022
Joe Harris,69,68,0.354,1.35,3.65,0.369,0.352,0.017,2019-20,69,69,0.395,2.49,4.07,0.612,0.61,0.002,69,69,0.496,2.97,5.12,0.581,0.562,0.019
Maxi Kleber,73,72,0.279,1.16,3.64,0.32,0.365,-0.045,2019-20,73,69,0.418,3.05,5.47,0.559,0.617,-0.059,73,71,0.521,3.58,6.81,0.525,0.576,-0.051
Myles Turner,62,60,0.24,1.37,3.63,0.378,0.356,0.022,2019-20,62,62,0.482,4.16,7.31,0.57,0.636,-0.066,62,62,0.577,4.71,8.74,0.539,0.595,-0.056
Kyrie Irving,20,20,0.343,1.1,3.6,0.306,0.365,-0.059,2019-20,20,20,0.371,2.55,3.9,0.654,0.592,0.062,20,20,0.495,3.1,5.2,0.596,0.548,0.048
Dragan Bender,15,14,0.281,1.33,3.6,0.37,0.367,0.004,2019-20,15,15,0.38,3.33,4.87,0.685,0.646,0.039,15,15,0.484,3.87,6.2,0.624,0.596,0.028
Wesley Matthews,65,62,0.429,1.25,3.6,0.346,0.36,-0.014,2019-20,65,56,0.231,0.95,1.94,0.492,0.603,-0.111,65,62,0.333,1.25,2.8,0.445,0.558,-0.113
Lauri Markkanen,50,49,0.28,1.16,3.6,0.322,0.363,-0.041,2019-20,50,50,0.46,3.54,5.92,0.598,0.62,-0.022,50,50,0.56,3.96,7.2,0.55,0.576,-0.026
Jonathan Isaac,33,32,0.322,1.24,3.58,0.347,0.366,-0.018,2019-20,33,33,0.436,2.36,4.85,0.488,0.611,-0.123,33,33,0.52,2.79,5.79,0.482,0.569,-0.087
Ish Smith,68,66,0.357,1.26,3.56,0.355,0.35,0.005,2019-20,68,67,0.404,2.44,4.03,0.606,0.59,0.016,68,67,0.485,2.82,4.84,0.584,0.548,0.036
Cody Martin,45,43,0.422,1.18,3.56,0.331,0.363,-0.032,2019-20,45,40,0.388,1.93,3.27,0.592,0.615,-0.023,45,42,0.464,2.24,3.91,0.574,0.574,0.0
Hassan Whiteside,66,62,0.195,1.55,3.55,0.436,0.351,0.085,2019-20,66,66,0.446,4.21,8.09,0.521,0.632,-0.111,66,66,0.549,4.86,9.95,0.489,0.594,-0.105
Shabazz Napier,56,54,0.39,1.36,3.55,0.382,0.365,0.017,2019-20,56,51,0.38,2.2,3.46,0.634,0.602,0.032,56,53,0.482,2.61,4.39,0.593,0.561,0.033
Cory Joseph,72,68,0.364,1.22,3.53,0.346,0.363,-0.017,2019-20,72,67,0.395,2.35,3.82,0.615,0.613,0.002,72,67,0.488,2.68,4.72,0.568,0.57,-0.002
Juancho Hernangomez,45,40,0.394,1.36,3.53,0.384,0.355,0.029,2019-20,45,42,0.423,2.58,3.8,0.678,0.608,0.071,45,43,0.483,2.78,4.33,0.641,0.568,0.073
Joe Ingles,71,68,0.381,1.08,3.52,0.308,0.367,-0.059,2019-20,71,70,0.377,2.35,3.48,0.676,0.607,0.069,71,70,0.453,2.56,4.18,0.613,0.566,0.047
Trevor Ariza,52,47,0.386,1.17,3.5,0.335,0.359,-0.024,2019-20,52,50,0.379,2.23,3.44,0.648,0.623,0.025,52,51,0.432,2.37,3.92,0.603,0.583,0.02
JR Smith,6,5,0.6,1.33,3.5,0.381,0.364,0.017,2019-20,6,4,0.2,0.33,1.17,0.286,0.541,-0.256,6,5,0.343,0.83,2.0,0.417,0.515,-0.099
Terrance Ferguson,55,51,0.38,1.25,3.49,0.359,0.37,-0.011,2019-20,55,50,0.301,1.55,2.76,0.559,0.607,-0.048,55,52,0.418,2.0,3.84,0.521,0.568,-0.047
LeBron James,67,66,0.373,1.07,3.48,0.309,0.361,-0.052,2019-20,67,65,0.391,2.03,3.64,0.557,0.616,-0.059,67,65,0.457,2.28,4.25,0.537,0.575,-0.038
Goran Dragic,58,54,0.377,1.09,3.47,0.313,0.354,-0.041,2019-20,58,56,0.36,2.22,3.31,0.672,0.593,0.079,58,57,0.463,2.5,4.26,0.587,0.553,0.034
Christian Wood,60,53,0.292,1.2,3.47,0.346,0.36,-0.014,2019-20,60,59,0.397,2.58,4.72,0.548,0.617,-0.069,60,59,0.513,3.13,6.1,0.514,0.574,-0.061
Jerami Grant,71,68,0.394,0.99,3.46,0.285,0.36,-0.076,2019-20,71,64,0.353,1.75,3.1,0.564,0.63,-0.066,71,69,0.433,2.13,3.8,0.559,0.588,-0.029
Luke Kennard,27,27,0.348,1.0,3.44,0.29,0.36,-0.07,2019-20,27,26,0.404,2.48,4.0,0.62,0.609,0.012,27,27,0.521,2.96,5.15,0.576,0.56,0.015
Steven Adams,62,55,0.216,1.32,3.44,0.385,0.354,0.031,2019-20,62,59,0.382,3.39,6.08,0.557,0.629,-0.072,62,61,0.477,4.11,7.6,0.541,0.59,-0.048
Derrick Favors,51,46,0.249,1.18,3.43,0.343,0.358,-0.015,2019-20,51,51,0.386,2.88,5.31,0.542,0.626,-0.083,51,51,0.476,3.33,6.55,0.509,0.588,-0.079
Isaiah Thomas,40,38,0.397,1.33,3.43,0.387,0.358,0.029,2019-20,40,36,0.33,1.95,2.85,0.684,0.585,0.099,40,39,0.412,2.2,3.55,0.62,0.547,0.073
Reggie Jackson,31,30,0.35,0.97,3.42,0.283,0.349,-0.066,2019-20,31,30,0.37,2.42,3.61,0.67,0.601,0.068,31,30,0.452,2.71,4.42,0.613,0.552,0.061
Cam Reddish,58,57,0.341,1.1,3.41,0.323,0.36,-0.036,2019-20,58,58,0.446,2.6,4.47,0.583,0.598,-0.015,58,58,0.518,2.9,5.19,0.558,0.559,-0.001
T.J. Warren,67,66,0.375,1.21,3.4,0.355,0.365,-0.009,2019-20,67,63,0.368,1.99,3.34,0.594,0.618,-0.024,67,65,0.474,2.43,4.3,0.566,0.571,-0.005
Bryn Forbes,62,61,0.384,1.42,3.4,0.417,0.363,0.054,2019-20,62,59,0.317,1.97,2.81,0.701,0.61,0.091,62,61,0.413,2.27,3.66,0.621,0.565,0.057
D.J. Augustin,57,56,0.433,0.95,3.39,0.28,0.352,-0.072,2019-20,57,49,0.291,1.44,2.28,0.631,0.591,0.04,57,54,0.395,1.79,3.09,0.58,0.555,0.024
Cameron Payne,8,8,0.375,1.0,3.38,0.296,0.354,-0.058,2019-20,8,8,0.319,1.75,2.88,0.609,0.548,0.061,8,8,0.444,2.13,4.0,0.531,0.534,-0.002
Wilson Chandler,35,34,0.393,1.23,3.34,0.368,0.344,0.024,2019-20,35,31,0.279,1.26,2.37,0.53,0.612,-0.082,35,33,0.393,1.69,3.34,0.504,0.574,-0.069
DeAndre Jordan,56,50,0.245,1.14,3.29,0.348,0.352,-0.004,2019-20,56,51,0.261,1.86,3.5,0.531,0.616,-0.085,56,54,0.36,2.39,4.82,0.496,0.576,-0.08
Otto Porter Jr.,14,14,0.368,1.29,3.29,0.391,0.356,0.035,2019-20,14,14,0.448,2.0,4.0,0.5,0.597,-0.097,14,14,0.528,2.21,4.71,0.47,0.56,-0.091
Seth Curry,63,55,0.42,1.22,3.29,0.372,0.357,0.015,2019-20,63,54,0.314,1.59,2.46,0.645,0.61,0.035,63,59,0.389,1.9,3.05,0.625,0.568,0.057
Maurice Harkless,62,60,0.371,1.23,3.27,0.374,0.358,0.017,2019-20,62,60,0.389,2.03,3.44,0.592,0.61,-0.019,62,62,0.473,2.37,4.18,0.568,0.57,-0.002
Ky Bowman,45,43,0.342,1.09,3.27,0.333,0.356,-0.022,2019-20,45,42,0.463,2.56,4.42,0.578,0.603,-0.025,45,42,0.533,2.8,5.09,0.55,0.559,-0.009
Anfernee Simons,69,63,0.38,1.23,3.26,0.378,0.365,0.013,2019-20,69,62,0.368,1.8,3.16,0.569,0.601,-0.033,69,66,0.454,2.12,3.9,0.543,0.558,-0.016
Brandon Clarke,58,53,0.318,1.12,3.26,0.344,0.355,-0.011,2019-20,58,56,0.435,2.52,4.47,0.564,0.62,-0.056,58,56,0.526,2.83,5.4,0.524,0.582,-0.058
Kentavious Caldwell-Pope,69,69,0.379,1.03,3.25,0.317,0.363,-0.046,2019-20,69,67,0.364,2.04,3.12,0.656,0.601,0.055,69,67,0.457,2.29,3.91,0.585,0.559,0.026
Bruce Brown,57,55,0.286,1.16,3.25,0.357,0.365,-0.009,2019-20,57,56,0.416,2.89,4.72,0.613,0.603,0.011,57,57,0.511,3.35,5.79,0.579,0.561,0.018
Alec Burks,66,64,0.365,1.15,3.24,0.355,0.36,-0.005,2019-20,66,65,0.413,2.08,3.67,0.566,0.611,-0.045,66,66,0.491,2.41,4.36,0.552,0.567,-0.015
DeMar DeRozan,67,61,0.344,1.31,3.24,0.406,0.364,0.041,2019-20,67,65,0.398,2.4,3.75,0.641,0.628,0.013,67,66,0.471,2.73,4.43,0.616,0.583,0.033
Markieff Morris,57,52,0.417,1.16,3.23,0.359,0.348,0.011,2019-20,57,51,0.37,1.89,2.86,0.663,0.609,0.053,57,54,0.438,2.05,3.39,0.606,0.573,0.033
Josh Okogie,62,60,0.343,1.1,3.23,0.34,0.366,-0.026,2019-20,62,61,0.393,2.35,3.69,0.638,0.605,0.033,62,61,0.467,2.61,4.39,0.596,0.564,0.032
Rondae Hollis-Jefferson,60,54,0.382,1.15,3.2,0.359,0.368,-0.008,2019-20,60,54,0.39,1.9,3.27,0.582,0.605,-0.024,60,55,0.459,2.07,3.85,0.537,0.564,-0.027
Andre Iguodala,20,19,0.405,0.9,3.2,0.281,0.369,-0.087,2019-20,20,20,0.335,1.4,2.65,0.528,0.619,-0.091,20,20,0.437,1.6,3.45,0.464,0.572,-0.108
Michael Carter-Williams,45,42,0.442,1.27,3.2,0.396,0.356,0.04,2019-20,45,38,0.34,1.44,2.47,0.586,0.623,-0.037,45,40,0.417,1.62,3.02,0.537,0.576,-0.04
Derrick Rose,49,48,0.343,1.1,3.2,0.344,0.353,-0.009,2019-20,49,47,0.371,2.02,3.47,0.582,0.607,-0.024,49,48,0.472,2.41,4.41,0.546,0.558,-0.011
Meyers Leonard,51,47,0.299,1.18,3.2,0.368,0.355,0.013,2019-20,51,49,0.36,2.53,3.84,0.658,0.634,0.024,51,50,0.468,3.02,5.0,0.604,0.594,0.01
Kenrich Williams,38,33,0.341,0.97,3.18,0.306,0.357,-0.051,2019-20,38,36,0.377,2.08,3.53,0.59,0.606,-0.016,38,38,0.513,2.61,4.79,0.544,0.568,-0.024
